country_yq,country,year_quarter,year_quarter_aux,reer_index,exports_all,exports_imports,ca_gdp,debt_reserves,portfolio_pib,real_gdp_yoy,cpi_index,fiscal_gdp,creditgdp,lending_deposit,msci_index,fed_funds,vix,id,bo,br,cl,co,mx,py,pe,uy
MX2001Q2,MX,2001-Q2,1/4/2001,-0.034249953,-0.011223048,0.915085842,-0.025433709,1.111272438,0.001688453,-0.00208077,0.066500015,0.01663285,0.236,2.021359223,-0.080714401,0.043266667,-0.072645531,6,0,0,0,0,1,0,0,0
MX2001Q3,MX,2001-Q3,1/7/2001,-0.044801731,-0.04092611,0.935383544,-0.024096723,1.026352728,-0.002239249,-0.011637023,0.058122461,0.021140589,0.237,2.027704485,-0.102171598,0.034966667,0.059100641,6,0,0,0,0,1,0,0,0
MX2001Q4,MX,2001-Q4,1/10/2001,-0.050757856,-0.031558712,0.932379376,-0.023061077,0.782932923,-0.00241558,-0.007834392,0.050904884,0.020737406,0.238,2.12195122,-0.023174106,0.021333333,0.095010229,6,0,0,0,0,1,0,0,0
MX2002Q1,MX,2002-Q1,1/1/2002,-0.044203239,0.028766901,0.947896233,-0.021166483,0.989394984,0.012379994,-0.029741677,0.046359998,0.014485412,0.232,2.134073442,0.157235191,0.017333333,-0.26742602,6,0,0,0,0,1,0,0,0
MX2002Q2,MX,2002-Q2,1/4/2002,-0.085455949,0.043751051,0.944372353,-0.019749215,1.029466055,-0.017576423,0.011168865,0.046632684,0.020835671,0.241,2.103825137,0.041410137,0.0175,0.013128825,6,0,0,0,0,1,0,0,0
MX2002Q3,MX,2002-Q3,1/7/2002,-0.129600599,0.013962298,0.939478891,-0.019085435,0.948702396,-0.006637822,0.002530949,0.051167908,0.019616375,0.243,2.1868823,-0.151497379,0.0174,0.482613657,6,0,0,0,0,1,0,0,0
MX2002Q4,MX,2002-Q4,1/10/2002,-0.147995811,-0.025936287,0.916492102,-0.017013766,0.918697663,0.005297281,0.014159295,0.05204517,0.01891272,0.246,2.315882875,-0.041726647,0.014433333,-0.132168916,6,0,0,0,0,1,0,0,0
MX2003Q1,MX,2003-Q1,1/1/2003,-0.198920123,0.019657852,0.984505214,-0.015153444,0.708420852,0.01586565,0.031233856,0.052964245,0.018281024,0.244,2.512340426,8.93091E-05,0.0125,-0.023181398,6,0,0,0,0,1,0,0,0
MX2003Q2,MX,2003-Q2,1/4/2003,-0.166897244,-0.032403506,0.920803554,-0.013282989,0.683721331,-0.000602852,0.005381857,0.046296578,0.018935343,0.242,2.06039604,0.066605057,0.012466667,-0.332444906,6,0,0,0,0,1,0,0,0
MX2003Q3,MX,2003-Q3,1/7/2003,-0.173110638,0.045551722,0.931790052,-0.010117688,0.706425061,-0.011352988,0.005039758,0.039882336,0.016148035,0.246,1.962406015,0.169498619,0.010166667,-0.108357373,6,0,0,0,0,1,0,0,0
MX2003Q4,MX,2003-Q4,1/10/2003,-0.198694494,0.02566866,0.942161556,-0.007520542,0.646570861,0.013970041,0.016936511,0.03896099,0.020954225,0.249,2.538888889,0.130431505,0.009966667,-0.103117429,6,0,0,0,0,1,0,0,0
MX2004Q1,MX,2004-Q1,1/1/2004,-0.169151467,0.064759693,0.944627927,-0.006720406,0.600674137,0.0143437,0.035093268,0.042313488,0.021700196,0.248,2.674220963,0.125717101,0.010033333,-0.045137032,6,0,0,0,0,1,0,0,0
MX2004Q2,MX,2004-Q2,1/4/2004,-0.171530577,0.024083476,0.937754074,-0.004461354,0.500474127,-0.013721556,0.041675555,0.041977514,0.019458091,0.245,2.653553299,-0.057413643,0.0101,-0.026023135,6,0,0,0,0,1,0,0,0
MX2004Q3,MX,2004-Q3,1/7/2004,-0.15632802,0.026102584,0.941942789,-0.004849265,0.467765051,0.020563641,0.037309773,0.046787114,0.020640122,0.242,2.762812872,-0.015868714,0.014333333,-0.049768107,6,0,0,0,0,1,0,0,0
MX2004Q4,MX,2004-Q4,1/10/2004,-0.141710134,0.009832812,0.918567088,-0.007014197,0.385776914,0.009115524,0.042562555,0.052011122,0.023454459,0.24,2.917869034,0.133423959,0.0195,-0.123272119,6,0,0,0,0,1,0,0,0
MX2005Q1,MX,2005-Q1,1/1/2005,-0.125918452,0.042052093,0.924066667,-0.009843498,0.37285592,0.028086932,0.007708283,0.043056331,0.021078262,0.241,2.955010225,0.102091504,0.0247,-0.065398217,6,0,0,0,0,1,0,0,0
MX2005Q2,MX,2005-Q2,1/4/2005,-0.099871546,0.043365015,0.960449572,-0.011040187,0.365167876,0.006522251,0.027125537,0.044113295,0.023386829,0.239,2.87628866,-0.004870435,0.029433333,0.047369722,6,0,0,0,0,1,0,0,0
